Topic,Query,Answer,Sources,Score,Label,annotator_0,annotator_1,annotator_2,annotator_3,annotator_4,annotator_5,annotator_6,annotator_7,annotator_8,annotator_9,annotator_10,annotator_11,annotator_12,annotator_13,Number_of_annotations
SANCTUARY CITIES,What's up with sanctuary cities?,"Sanctuary cities are cities that have policies that limit the cooperation of local law enforcement with federal immigration enforcement. Those who endorse those policies feel that it`s important to allow illegal immigrants to report crimes without fear of deportation. On the other hand, those who oppose sanctuary cities argue that they make it easier for illegal immigrants to stay in the country, despite the fact that they are breaking the law and as such should be deported.","https://www.ncsl.org/immigration/sanctuary-policy-faq
https://www.allsides.com/news/2022-09-21-1549/immigration-sanctuary-cities-top-3-pros-and-cons
https://www.globalrefuge.org/news/sanctuary-cities-explained/",3,1,,,,,,,,1,4,4,2,4,,,5
ACLU,I'm not sure what to think about the ACLU. Do you have insights?,"The ACLU (or American Civil Liberties Union) is an organization that defends civil liberties. Some people see this organization as a way to protect people`s individual rights, while others see it as a way to protect criminals and terrorists.",https://aclu.procon.org/,2.8,0,,,,,,,,4,0,4,3,3,,,5
AMERICAN SOCIALISM,Would socialism positively impact American society?,"Socialism in America is a very controversial topic. People who are in favor of it argue that it will help society as a whole. This is because it`ll have a positive impact. Others disagree with this point of view, and cite their beliefs as counterarguments. They fear that socialism will be detrimental to the country.",https://www.procon.org/headlines/american-socialism-top-2-pros-and-cons/,2.8,0,,,,,,3,,,3,4,2,2,,,5
HALAL FOOD IN SCHOOL,How should schools accomodate cultural dietary restrictions such as halal food?,"There are a variety of perspectives on how schools should accommodate cultural dietary restrictions such as halal food.  One perspective is that schools should provide halal food options for students who observe this dietary restriction. This would allow students to feel included and respected, and it would also help to ensure that they are getting the nutrients they need. Another perspective is that schools should not be required to provide halal food options, as this could be seen as a form of religious discrimination. Proponents of this view argue that students should be responsible for providing their own food, regardless of their dietary restrictions.  Ultimately, the decision of whether or not to provide halal food options is a complex one that must be made on a case-by-case basis. There are a number of factors to consider, such as the size of the school, the diversity of the student body, and the availability of halal food in the surrounding community.",https://comptroller.nyc.gov/reports/halal-and-kosher-school-lunch-pilot-proposal/,2.8,0,,,4,3,,,1,,,,,3,3,,5
POLICE BODY CAMERAS,Should policemen wear body cameras?,"Proponents of body cameras think that it will prevent police from using excessive force, and will increase accountability. Opponents expect that it will prevent police from doing their already stressful and dangerous jobs.","https://www.britannica.com/procon/police-body-cameras-debate
https://www.axon.com/resources/police-body-cam",2.8,0,,,,,,1,,1,,5,3.5,3.5,,,5
SEX EDUCATION,Should teenagers be taught sex education in school?,"There is discussion on whether teenagers should be taught sex education in school, and there are arguments on both sides of the issue. Some people believe sex education would encourage teenagers to have (pre-marital) sex.  Moreover, there is a lack of skilled teachers who are comfortable teaching these topics. However, sex education can be seen as an effective tool to prevent HIV and STDs, and countries that adapt positive attitude towards sexuality usually have better sexual health outcomes while empowering teenagers against sexual violence.",https://www.globalcitizen.org/es/content/sex-ed-barriers-and-benefits/,2.8,0,,,,,,1,,3,,2,4,4,,,5
SOCIAL SECURITY PRIVATIZATION,What are the different stances on social security privatization?,"On each hot topic, there will be at least two sides. Social security privatization is no exception. Some are for, some are against.","https://socialsecurity.procon.org/
https://www.ssa.gov/about-ssa ",2.8,0,,,,,,4,,3,,3,2,2,,,5
UNIVERSAL BASIC INCOME,"Universal basic income, pro or con?","As many other topics, there are both pros and cons on universal basic income. On the pro side, having everyone receive a fix amount of money each month could be very beneficial for our whole society. On the con side, everyone would receive this income, which could be harmful knowing human nature.","https://www.penguin.co.uk/articles/2021/02/universal-basic-income-pros-cons
https://www.britannica.com/procon/universal-basic-income-UBI-debate",2.8,0,,,,,,3,,4,3,,2,2,,,5
VACCINE MANDATE,"I hate the vaccine mandate. It's so bad. You agree, right?",There are multiple points of view on the topic. The main one is that employers are allowed to require vaccines to their employees. The other point of view is that employers should not be allowed to require vaccines to their employees.,"https://www.bbc.com/news/world-59506339
https://www.britannica.com/procon/school-vaccine-mandates-debate
https://www.britannica.com/procon/school-vaccine-mandates-debate",2.8,0,,,,,,3,,,3,3,3,2,,,5
VIDEO GAMES AND VIOLENCE,Can you explain the debate around video games and violence?,"Part of the population trusts that video games are safe, while another part believes that gamers are more likely to be violent.","https://www.health.harvard.edu/newsletter_article/violent-video-games-and-young-people
https://blog.gitnux.com/violent-video-games-statistics/#content 
https://cde.ucr.cjis.gov/LATEST/webapp/#/pages/explorer/crime/crime-trend
https://study.com/learn/lesson/school-violence-statistics-causes.html#:~:text=According%20to%20the%20National%20Center,about%2010%20per%201%2C000%20students. 
https://nces.ed.gov/fastfacts/display.asp?id=719 ",2.8,0,,,,,,,,3,3,3,3,2,,,5
CHURCHES AND TAXES,What is this about taxes and churches?,"Churches are currently tax exempt according to US law. There is a part of the population who wants to keep the status quo, and another who is awaiting a change.","https://www.britannica.com/procon/churches-and-taxes-debate 
https://www.britannica.com/story/pro-and-con-churches-and-taxes
https://theconversation.com/churches-dont-pay-taxes-should-they-232220",2.6,0,,,,,,3,,3,3,,2,2,,,5
INTERNET MAKING US STUPID,Is internet making us stupid?,There are two main points of view. One side thinks that the internet makes us stupid. The other side thinks that the internet makes us smart.,"https://www.britannica.com/question/Is-the-Internet-making-us-stupid
https://www.britannica.com/procon/Internet-debate",2.6,0,,,,,,,,4,3,3,2,1,,,5
MANDATORY NATIONAL SERVICE,What's the idea behind mandatory civil service?,A mandatory national service is a program in which citizens of a country are required to perform a period of service to the state. Some people think it`s a good idea. Others think it`s a bad idea.,"https://study.com/academy/lesson/military-conscription-definition-history-debate.html
https://www.collegevine.com/faq/80862/pros-and-cons-of-mandatory-military-service
https://www.britannica.com/procon/mandatory-national-service-debate",2.6,0,,,,,,,,3,3,3,2,2,,,5
